CustomerID,CustomerName,Segment,Country,Region,State,City
LS-172304,Lycoris Saunders,Consumer,United States,West,California,Los Angeles
MV-174854,Mark Van Huff,Consumer,United States,West,California,Los Angeles
CS-121304,Chad Sievert,Consumer,United States,West,California,Los Angeles
AP-109154,Arthur Prichep,Consumer,United States,West,California,Los Angeles
JF-154904,Jeremy Farry,Consumer,United States,West,California,Los Angeles
WB-218504,William Brown,Consumer,United States,West,California,Los Angeles
JA-159704,Joseph Airdo,Consumer,United States,West,California,Los Angeles
SP-209204,Susan Pistek,Consumer,United States,West,California,Los Angeles
RL-196154,Rob Lucas,Consumer,United States,West,California,Los Angeles
KD-163454,Katherine Ducich,Consumer,United States,West,California,Los Angeles
JM-161954,Justin Mackendrick,Consumer,United States,West,California,Los Angeles
RD-195854,Rob Dowd,Consumer,United States,West,California,Los Angeles
AB-101654,Alan Barnes,Consumer,United States,West,California,Los Angeles
AR-105404,Andy Reiter,Consumer,United States,West,California,Los Angeles
LH-171554,Logan Haushalter,Consumer,United States,West,California,Los Angeles
AR-105104,Andrew Roberts,Consumer,United States,West,California,Los Angeles
NG-184304,Nathan Gelder,Consumer,United States,West,California,Los Angeles
DP-130004,Darren Powers,Consumer,United States,West,California,Los Angeles
TS-213404,Toby Swindell,Consumer,United States,West,California,Los Angeles
KM-167204,Kunst Miller,Consumer,United States,West,California,Los Angeles
AI-108554,Arianne Irving,Consumer,United States,West,California,Los Angeles
CL-125654,Clay Ludtke,Consumer,United States,West,California,Los Angeles
SW-202454,Scot Wooten,Consumer,United States,West,California,Los Angeles
CC-122204,Chris Cortes,Consumer,United States,West,California,Los Angeles
LC-171404,Logan Currie,Consumer,United States,West,California,Los Angeles
JF-152954,Jason Fortune-,Consumer,United States,West,California,Los Angeles
JO-152804,Jas O'Carroll,Consumer,United States,West,California,Los Angeles
TB-216254,Trudy Brown,Consumer,United States,West,California,Los Angeles
TT-210704,Ted Trevino,Consumer,United States,West,California,Los Angeles
DO-134354,Denny Ordway,Consumer,United States,West,California,Los Angeles
LS-172454,Lynn Smith,Consumer,United States,West,California,Los Angeles
OT-187304,Olvera Toch,Consumer,United States,West,California,Los Angeles
BD-113204,Bill Donatelli,Consumer,United States,West,California,Los Angeles
MV-181904,Mike Vittorini,Consumer,United States,West,California,Los Angeles
GT-147554,Guy Thornton,Consumer,United States,West,California,Los Angeles
CC-123704,Christopher Conant,Consumer,United States,West,California,Los Angeles
JM-155804,Jill Matthias,Consumer,United States,West,California,Los Angeles
PS-187604,Pamela Stobb,Consumer,United States,West,California,Los Angeles
CC-124754,Cindy Chapman,Consumer,United States,West,California,Los Angeles
JE-157454,Joel Eaton,Consumer,United States,West,California,Los Angeles
XP-218654,Xylona Preis,Consumer,United States,West,California,Los Angeles
SO-203354,Sean O'Donnell,Consumer,United States,West,California,Los Angeles
CK-125954,Clytie Kelty,Consumer,United States,West,California,Los Angeles
LL-168404,Lauren Leatherbury,Consumer,United States,West,California,Los Angeles
DD-135704,Dorothy Dickinson,Consumer,United States,West,California,Los Angeles
DV-134654,Dianna Vittorini,Consumer,United States,West,California,Los Angeles
CC-126704,Craig Carreira,Consumer,United States,West,California,Los Angeles
TT-212204,Thomas Thornton,Consumer,United States,West,California,Los Angeles
TB-215204,Tracy Blumstein,Consumer,United States,West,California,Los Angeles
KT-164804,Kean Thornton,Consumer,United States,West,California,Los Angeles
LC-170504,Liz Carlisle,Consumer,United States,West,California,Los Angeles
JM-158654,John Murray,Consumer,United States,West,California,Los Angeles
DB-136604,Duane Benoit,Consumer,United States,West,California,Los Angeles
GA-147254,Guy Armstrong,Consumer,United States,West,California,Los Angeles
EP-139154,Emily Phan,Consumer,United States,West,California,Los Angeles
CC-125504,Clay Cheatham,Consumer,United States,West,California,Los Angeles
SR-207404,Steven Roelle,Home Office,United States,West,California,Los Angeles
AY-105554,Andy Yotov,Corporate,United States,West,California,Los Angeles
AH-100304,Aaron Hawkins,Corporate,United States,West,California,Los Angeles
VF-217154,Vicky Freymann,Home Office,United States,West,California,Los Angeles
JM-152654,Janet Molinari,Corporate,United States,West,California,Los Angeles
GG-146504,Greg Guthrie,Corporate,United States,West,California,Los Angeles
PL-189254,Paul Lucas,Home Office,United States,West,California,Los Angeles
MA-175604,Matt Abelman,Home Office,United States,West,California,Los Angeles
MC-181304,Mike Caudle,Corporate,United States,West,California,Los Angeles
AM-103604,Alice Mccarthy,Corporate,United States,West,California,Los Angeles
BP-110954,Bart Pistole,Corporate,United States,West,California,Los Angeles
DE-132554,Deanra Eno,Home Office,United States,West,California,Los Angeles
AJ-107804,Anthony Jacobs,Corporate,United States,West,California,Los Angeles
CG-120404,Catherine Glotzbach,Home Office,United States,West,California,Los Angeles
MO-178004,Meg O'Connel,Home Office,United States,West,California,Los Angeles
RW-195404,Rick Wilson,Corporate,United States,West,California,Los Angeles
YC-218954,Yoseph Carroll,Corporate,United States,West,California,Los Angeles
SN-207104,Steve Nguyen,Home Office,United States,West,California,Los Angeles
DB-129703,Darren Budd,Corporate,United States,West,California,Los Angeles
SM-203204,Sean Miller,Home Office,United States,West,California,Los Angeles
SC-200504,Sample Company A,Home Office,United States,West,California,Los Angeles
SM-209504,Suzanne Mcnair,Corporate,United States,West,California,Los Angeles
RD-198104,Ross Devincentis,Home Office,United States,West,California,Los Angeles
KF-162854,Karen Ferguson,Home Office,United States,West,California,Los Angeles
RS-194204,Ricardo Sperren,Corporate,United States,West,California,Los Angeles
NL-183104,Nancy Lomonaco,Home Office,United States,West,California,Los Angeles
RB-197954,Ross Baird,Home Office,United States,West,California,Los Angeles
AH-100754,Adam Hart,Corporate,United States,West,California,Los Angeles
SC-202304,Scot Coram,Corporate,United States,West,California,Los Angeles
JS-156854,Jim Sink,Corporate,United States,West,California,Los Angeles
LA-167804,Laura Armstrong,Corporate,United States,West,California,Los Angeles
CW-119054,Carl Weiss,Home Office,United States,West,California,Los Angeles
TH-212354,Tiffany House,Corporate,United States,West,California,Los Angeles
AP-107204,Anne Pryor,Home Office,United States,West,California,Los Angeles
HG-149654,Henry Goldwyn,Corporate,United States,West,California,Los Angeles
GK-146204,Grace Kelly,Corporate,United States,West,California,Los Angeles
BT-115304,Bradley Talbott,Home Office,United States,West,California,Los Angeles
NS-186404,Noel Staavos,Corporate,United States,West,California,Los Angeles
SS-201404,Saphhira Shifley,Corporate,United States,West,California,Los Angeles
RS-197654,Roland Schwarz,Corporate,United States,West,California,Los Angeles
CS-122504,Chris Selesnick,Corporate,United States,West,California,Los Angeles
RB-194654,Rick Bensley,Home Office,United States,West,California,Los Angeles
FH-142754,Frank Hawley,Corporate,United States,West,California,Los Angeles
JL-158354,John Lee,Consumer,United States,West,California,Los Angeles
MH-172904,Marc Harrigan,Home Office,United States,West,California,Los Angeles
BH-117104,Brosina Hoffman,Consumer,United States,West,California,Los Angeles
FM-142154,Filia Mcadams,Corporate,United States,West,California,Los Angeles
AR-108254,Anthony Rawles,Corporate,United States,West,California,Los Angeles
AB-102554,Alejandro Ballentine,Home Office,United States,West,California,Los Angeles
TC-215354,Tracy Collins,Home Office,United States,West,California,Los Angeles
RB-194354,Richard Bierner,Consumer,United States,West,California,Los Angeles
FP-143204,Frank Preis,Consumer,United States,West,California,Los Angeles
MC-178454,Michael Chen,Consumer,United States,West,California,Los Angeles
AZ-107504,Annie Zypern,Consumer,United States,West,California,Los Angeles
PC-190004,Pauline Chand,Home Office,United States,West,California,Los Angeles
GB-145304,George Bell,Corporate,United States,West,California,Los Angeles
SN-205604,Skye Norling,Home Office,United States,West,California,Los Angeles
FC-142454,Frank Carlisle,Home Office,United States,West,California,Los Angeles
PG-188954,Paul Gonzalez,Consumer,United States,West,California,Los Angeles
PW-190304,Pauline Webber,Corporate,United States,West,California,Los Angeles
TS-214304,Tom Stivers,Corporate,United States,West,California,Los Angeles
LR-169154,Lena Radford,Consumer,United States,West,California,Los Angeles
CS-119504,Carlos Soltero,Consumer,United States,West,California,Los Angeles
TB-212504,Tim Brockman,Consumer,United States,West,California,Los Angeles
MS-173654,Maribeth Schnelling,Consumer,United States,West,California,Los Angeles
FH-143654,Fred Hopkins,Corporate,United States,West,California,Los Angeles
TT-214604,Tonja Turnell,Home Office,United States,West,California,Los Angeles
ED-138854,Emily Ducich,Home Office,United States,West,California,Los Angeles
SP-208604,Sung Pak,Corporate,United States,West,California,Los Angeles
BP-110504,Barry Pond,Corporate,United States,West,California,Los Angeles
